id,round,amount,product_name,investment,business_id,credit_code,name,update_time,date
1,A轮,5300万,,"腾讯产业共赢基金
元生资本
时代资本
KTB投资集团",,91110105MA00GUJG8D,北京每日优鲜便利购电子商务有限公司,2020-06-17 20:02:41,
2,B轮,14400万,,"鼎晖投资
北极光创投
启明创投
君联资本
微光创投
光源资本",,91110105MA00GUJG8D,北京每日优鲜便利购电子商务有限公司,2020-06-17 20:02:41,
3,A轮,金额未知,,"梅花创投
凤凰祥瑞",,91110114MA017DFY5A,北京浩美生活信息技术有限公司,2020-06-17 20:02:41,
4,战略投资,金额未知,,杨浩涌,,91110114MA017DFY5A,北京浩美生活信息技术有限公司,2020-06-17 20:02:41,
5,A轮,金额未知,,创梦创投,,91110114080536525T,北京天正颐和投资管理有限公司,2020-06-17 20:02:41,
6,天使轮,1600万,,"峰瑞资本
真格基金
金沙江创投
1号公路",,91110112MA005XBUXF,北京蜂巢互保网络科技有限公司,2020-06-17 20:02:41,
7,-,金额未知,,道东（北京）投资,,91110112306564933Y,北京西果教育科技有限责任公司,2020-06-17 20:02:41,
8,天使轮,金额未知,,水木资本,,91110108MA01D2TN70,北京华御健康管理有限公司,2020-06-17 20:02:41,
9,被收购,金额未知,,波场,,91110108MA01BT9Q7F,北京币用宝科技有限公司,2020-06-17 20:02:41,
10,种子轮,300万,,个人投资人,,91110108MA01AJWG9P,北京万物起源科技有限公司,2020-06-17 20:02:41,
11,天使轮,金额未知,,"民享财富
中信信托
聚信尚德",,91110108MA00F9AT4F,北京天链测控技术有限公司,2020-06-17 20:02:41,
12,天使轮,金额未知,,水木资本,,91110108MA00CF329J,北京加饭科技有限公司,2020-06-17 20:02:41,
13,A轮,金额未知,,北京东方汇嘉基金管理,,91110108MA009R528U,北京盯牛科技有限公司,2020-06-17 20:02:41,
14,天使轮,金额未知,,奇伦天佑,,91110108MA004CMK5A,北京三普威盛科技有限公司,2020-06-17 20:02:41,
15,天使轮,金额未知,,"云起资本
金谷融通",,91110108MA003U929M,北京心锐之光信息科技有限公司,2020-06-17 20:02:41,
16,战略投资,金额未知,,"鼎新联合
华胜天成",,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
17,战略投资,金额未知,,"和光资本
银丰融金（北京）投资管理",,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
18,-,金额未知,,赛富投资基金,,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
19,A轮,金额未知,,中关村发展集团,,91110108783991348U,北京凯悦宁医药科技有限公司,2020-06-17 20:02:41,
20,新三板,金额未知,,投资方未知,,9111010866219043X0,北京赢家伟业科技孵化器股份有限公司,2020-06-17 20:02:41,
21,天使轮,金额未知,,金复资本,,91110108358310740G,北京雷平文化传媒有限公司,2020-06-17 20:02:41,
22,Pre-A轮,1000万,,"新势能基金
高达资本",,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
23,种子轮,金额未知,,"梅花创投
发现创投",,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
24,天使轮,360万,,高达资本,,91110108344350178E,北京泛化智能科技有限公司,2020-06-17 20:02:41,
25,天使轮,100万,,"58同城
伙伴创投",,91110108339672682U,北京众智人人信息科技有限责任公司,2020-06-17 20:02:41,
26,A轮,金额未知,,星辉投资,,91110108335524308H,北京幽焱科技有限责任公司,2020-06-17 20:02:41,
27,天使轮,150万,,星辉投资,,91110108335524308H,北京幽焱科技有限责任公司,2020-06-17 20:02:41,
28,A轮,金额未知,,泰岳梧桐资本,,911101083183323475,北京高庭科技有限公司,2020-06-17 20:02:41,
29,天使轮,金额未知,,"考拉资本
北京毅诚科技有限公司",,911101083183323475,北京高庭科技有限公司,2020-06-17 20:02:41,
30,天使轮,金额未知,,麒麟游戏,,91110108318247302T,北京科美乐软件有限公司,2020-06-17 20:02:41,
31,A轮,金额未知,,道口投,,91110108318238692L,北京鸿胜嘉德科技有限公司,2020-06-17 20:02:41,
32,天使轮,金额未知,,招诚融智投资,,91110108318238692L,北京鸿胜嘉德科技有限公司,2020-06-17 20:02:41,
33,A+轮,金额未知,,新东方,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
34,A轮,金额未知,,首泰金信,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
35,天使轮,100万,,"红石诚金
龙渊云腾",,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
36,Pre-A轮,1000万,,追远创投,,91110108318152274K,北京小小牛创意科技有限公司,2020-06-17 20:02:41,
37,A轮,金额未知,,吉富投资,,9111010831811661XF,北京汇涓时代网络科技有限公司,2020-06-17 20:02:41,
38,天使轮,200万,,投资方未知,,9111010831811661XF,北京汇涓时代网络科技有限公司,2020-06-17 20:02:41,
39,天使轮,100万,,探针基金,,9111010831790733XE,人鱼线(北京)科技有限公司,2020-06-17 20:02:41,
40,天使轮,数百万人民币,,和君资本,,911101080785108877,北京麦在家科技有限公司,2020-06-17 20:02:41,
41,天使轮,100万,,清流资本,,911101080695939320,北京选能科技有限公司,2020-06-17 20:02:41,
42,A轮,金额未知,,金科君创,,91110108057308620J,北京志察数据科技有限公司,2020-06-17 20:02:42,
43,天使轮,300万,,乐游资本,,91110108051421542F,北京指尖畅游科技有限公司,2020-06-17 20:02:42,
44,天使轮,金额未知,,"九弦资本
泽能资本
兴安盟昊龙",,91110108051402368G,北京新安芯合科技有限公司,2020-06-17 20:02:42,
45,天使轮,100万,,投资方未知,,91110105MA018DBG85,北京猫小侠智能科技有限公司,2020-06-17 20:02:42,
46,天使轮,500万,,梅花创投,,91110105MA00BNGR2X,北京月付科技有限公司,2020-06-17 20:02:42,
47,种子轮,50万,,投资方未知,,91110105MA00AXK25B,北京盈格天骋科技有限公司,2020-06-17 20:02:42,
48,天使轮,100万,,投资方未知,,91110105MA003A3U5T,北京呢咖印象文化有限公司,2020-06-17 20:02:42,
49,B轮,金额未知,,京西晨辉（北京）互联网产业投资管理,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
50,A+轮,金额未知,,紫辉创投,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
51,Pre-A轮,100万,,投资方未知,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
52,A轮,1000万,,北极光创投,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
53,天使轮,100万,,云起资本,,91110105MA0010555P,北京维艰科技有限责任公司,2020-06-17 20:02:42,
54,C轮,1000万,,Benchmark,,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
55,天使轮,1000万,,创东方投资,,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
56,B轮,350万,,"BVP
Mangrove",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
57,D轮,4000万,,"Benchmark
Insight Venture Partners
DAG Ventures",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
58,A轮,500万,,"BVP
Mangrove",,911101055808541407,北京赤龙世漫文化传播有限公司,2020-06-17 20:02:42,
59,被收购,金额未知,,优客工场,,91110105357924361H,北京大观建筑设计咨询有限公司,2020-06-17 20:02:42,
60,A轮,金额未知,,"优客工场
优享创智",,91110105357924361H,北京大观建筑设计咨询有限公司,2020-06-17 20:02:42,
61,天使轮,金额未知,,柯罗尼基金,,911101053552218731,北京小竺映画文化传播有限公司,2020-06-17 20:02:42,
62,天使轮,100万,,投资方未知,,91110105327309915R,北京明趣科技有限公司,2020-06-17 20:02:42,
63,天使轮,50万,,投资方未知,,9111010531834249XG,北京看我文化创意有限公司,2020-06-17 20:02:42,
64,天使轮,100万,,好未来,,91110105318393596W,北京爱听网络科技有限公司,2020-06-17 20:02:42,
65,Pre-A轮,1300万,,梦想家资本,,91110105089630470Q,北京尤果网文化传媒有限公司,2020-06-17 20:02:42,
66,天使轮,100万,,投资方未知,,91110105089630470Q,北京尤果网文化传媒有限公司,2020-06-17 20:02:42,
67,天使轮,100万,,创业工场,,91110105082820589D,北京中科汇能科技有限公司,2020-06-17 20:02:42,
68,-,金额未知,,北京红石资本,,91110105MA002JK740,北京天玺龙阁服装服饰有限公司,2020-06-17 20:02:42,
69,IPO,金额未知,,公开发行,,9111011234429564X2,股家(北京)科技有限公司,2020-06-17 20:02:42,
70,A轮,100万,,壹壹天使,,9111011234429564X2,股家(北京)科技有限公司,2020-06-17 20:02:42,
71,A轮,金额未知,,宁波梅山保税港区宇英泽君投资合伙企业（有限合伙）,,91110108MA003WWG5T,嘿呗网络科技(北京)有限公司,2020-06-17 20:02:42,
72,天使轮,金额未知,,中科招商,,91110108554820588L,顾唯(北京)文化交流有限公司,2020-06-17 20:02:42,
73,天使轮,金额未知,,海淀园创业中心,,91110108339815321X,嘉远未来数字科技(北京)有限公司,2020-06-17 20:02:42,
74,Pre-A轮,金额未知,,中一资本,,911101083064055965,智擎信息技术(北京)有限公司,2020-06-17 20:02:42,
75,天使轮,金额未知,,"青山资本
九合创投",,911101083064055965,智擎信息技术(北京)有限公司,2020-06-17 20:02:42,
76,天使轮,金额未知,,德迅投资,,9111010805561574XH,泽熙天成(北京)科技有限公司,2020-06-17 20:02:42,
77,B轮,金额未知,,金沙江创投,,91110106076575708M,北京一匡天下网络科技有限公司,2020-06-17 20:02:42,
78,-,金额未知,,亦庄国投,,91110105MA00GBW59A,领信智链(北京)科技有限公司,2020-06-17 20:02:42,
79,A轮,10000万,,"天图资本
广发信德
瀚泽资本",,911101055769365061,瑞旗美林(北京)商贸有限公司,2020-06-17 20:02:42,
80,天使轮,220万,,投资方未知,,91110105330353220M,必胜国际体育文化(北京)有限公司,2020-06-17 20:02:42,
81,天使轮,100万,,投资方未知,,91110228MA001B264K,北京维创企业管理有限公司,2020-06-17 20:02:42,
82,Pre-A轮,1000万,,"巴特恩资本
正念资本
AC加速器
小樱桃基金",,91110228MA001B264K,北京维创企业管理有限公司,2020-06-17 20:02:42,
83,天使轮,500万,,投资方未知,,911101165674145622,北京唯吾科技有限公司,2020-06-17 20:02:42,
84,A轮,金额未知,,北京贸通投资管理有限责任公司,,911101120716542205,北京淘气宝玩具贸易有限公司,2020-06-17 20:02:42,
85,天使轮,数百万人民币,,险峰长青,,911101120716542205,北京淘气宝玩具贸易有限公司,2020-06-17 20:02:42,
86,天使轮,金额未知,,"险峰长青
张洪禹",,911101120716542205,北京淘气宝玩具贸易有限公司,2020-06-17 20:02:42,
87,A轮,金额未知,,"复朴投资
迪安诊断",,91110111348344373J,数聚工研(北京)科技有限公司,2020-06-17 20:02:42,
88,天使轮,金额未知,,线性资本,,91110108MA01C9083C,远算智能(北京)科技有限公司,2020-06-17 20:02:42,
89,A轮,金额未知,,"G5创新基金
创东方投资",,91110108MA01C9083C,远算智能(北京)科技有限公司,2020-06-17 20:02:42,
90,战略投资,金额未知,,安锡资本,,91110108MA01C9083C,远算智能(北京)科技有限公司,2020-06-17 20:02:42,
91,A轮,金额未知,,"梅花创投
凤凰祥瑞",,91110108MA01AUEQ68,智顾时代(北京)科技有限公司,2020-06-17 20:02:42,
92,A轮,5000万,,"创世伙伴资本
清流资本",,91110108MA019YB85H,燃塑科技(北京)有限公司,2020-06-17 20:02:42,
93,Pre-A轮,1000万,,"清流资本
真格基金",,91110108MA019YB85H,燃塑科技(北京)有限公司,2020-06-17 20:02:42,
94,天使轮,1000万,,真格基金,,91110108MA019YB85H,燃塑科技(北京)有限公司,2020-06-17 20:02:42,
95,Pre-A轮,1000万,,"真格基金
SIG海纳亚洲",,91110108MA017UC98C,北京治学教育科技有限公司,2020-06-17 20:02:43,
96,A轮,金额未知,,执一资本,,91110108MA00EF004F,北京小爱智能科技有限公司,2020-06-17 20:02:43,
97,天使轮,500万,,AA投资,,91110108MA00EF004F,北京小爱智能科技有限公司,2020-06-17 20:02:43,
98,Pre-A轮,金额未知,,"知卓资本
聚卓资本
中才投资",,91110108MA00EF004F,北京小爱智能科技有限公司,2020-06-17 20:02:43,
99,天使轮,金额未知,,全经联产业孵化器,,91110108MA0070U65F,北京炫房科技有限公司,2020-06-17 20:02:43,
100,战略投资,金额未知,,中科招商,,9111010858250323XP,无限领航(北京)科技有限责任公司,2020-06-17 20:02:43,
101,天使轮,金额未知,,国科嘉和,,911101083443839221,北京中科高斯科技有限公司,2020-06-17 20:03:31,
102,天使轮,金额未知,,投资方未知,,91110105MA009UWU78,北京极光组网络科技有限公司,2020-06-17 20:03:31,
103,B轮,金额未知,,"国投东兴
上德合利",,91110105MA009UWU78,北京极光组网络科技有限公司,2020-06-17 20:03:31,
104,种子轮,金额未知,,小马蜂创投,,91110105MA004R5Y24,北京维秀传媒有限公司,2020-06-17 20:03:31,
105,-,金额未知,,多点科技,,91110105MA004M64XM,北京当趣科技有限公司,2020-06-17 20:03:31,
106,战略投资,200万,,环球漫游,,91110105MA001FEP70,北京格列佛科技有限公司,2020-06-17 20:03:31,
107,天使轮,100万,,投资方未知,,91110105MA001FEP70,北京格列佛科技有限公司,2020-06-17 20:03:31,
108,A轮,1000万,,乐视网,,91110105399417798N,北京维阿时代科技有限公司,2020-06-17 20:03:31,
109,Pre-A轮,金额未知,,投资方未知,,91110105399417798N,北京维阿时代科技有限公司,2020-06-17 20:03:32,
110,天使轮,金额未知,,亿联资本,,91110105399417798N,北京维阿时代科技有限公司,2020-06-17 20:03:32,
111,天使轮,1000万,,投资方未知,,91110105330349643B,北京留恒科技有限责任公司,2020-06-17 20:03:32,
112,被收购,金额未知,,中清龙图,,91110105067340747U,九秒闪游(北京)科技有限公司,2020-06-17 20:03:32,
113,战略投资,金额未知,,天音控股,,91110105067340747U,九秒闪游(北京)科技有限公司,2020-06-17 20:03:32,
114,Pre-A轮,1000万,,"1898创投
正念资本
联石投资",,91110108MA0199E783,北京启步未来教育科技有限公司,2020-06-17 20:03:32,
115,A轮,金额未知,,平视资本,,91110108MA0195WA6J,北京匠道科技有限公司,2020-06-17 20:03:32,
116,天使轮,金额未知,,Plug & Play Ventures,,91110108MA00GU0Y4L,北京嘻范科技有限公司,2020-06-17 20:03:32,
117,天使轮,500万,,投资方未知,,91110108MA00D7YK75,北京红云榜网络技术有限公司,2020-06-17 20:03:32,
118,天使轮,500万,,"创势资本
金艮资本
银河金桥投资
轻舟创投",,91110108MA002TF10U,北京金股链科技有限公司,2020-06-17 20:03:32,
119,Pre-A轮,60万,,广联达,,91110108355240695H,北京看建信息科技有限公司,2020-06-17 20:03:32,
120,天使轮,100万,,清林华成,,91110108327251522G,北京飞跃新能科技有限公司,2020-06-17 20:03:32,
121,天使轮,100万,,"赛富投资基金
未名雅集",,911101083064759571,北京屹立互娱网络科技有限公司,2020-06-17 20:03:32,
122,Pre-A轮,1000万,,"云起资本
爱拍原创
上古彩",,911101083064759571,北京屹立互娱网络科技有限公司,2020-06-17 20:03:32,
123,A轮,金额未知,,创势资本,,911101083064759571,北京屹立互娱网络科技有限公司,2020-06-17 20:03:32,
124,天使轮,1000万,,投资方未知,,911101060766366896,北京聚元科技有限公司,2020-06-17 20:03:32,
125,天使轮,金额未知,,投资方未知,,91110101330368481C,北京放心科技服务有限公司,2020-06-17 20:03:32,
126,天使轮,金额未知,,"36氪
天使圈",,911101013064643692,北京创英科技有限公司,2020-06-17 20:03:32,
127,天使轮,100万,,志成资本,,91110114076616960C,北京八零八二音频科技有限公司,2020-06-17 20:03:32,
128,天使轮,金额未知,,京北投资,,91110114MA01BUG87K,北京京北教育咨询有限公司,2020-06-17 20:03:32,
129,天使轮,金额未知,,"百富达资本集团
奇点资产
新湖控股",,91310000MA1K33T9XR,上海趣美信息技术有限公司,2020-06-17 20:03:32,
130,天使轮,未披露,,清林华成,,911101143183236354,北京淘员外企业管理咨询有限公司,2020-06-17 20:03:32,
131,A轮,金额未知,,耀途资本,,91310000MA1K33T9XR,上海趣美信息技术有限公司,2020-06-17 20:03:32,
132,天使轮,金额未知,,瑞德医疗投资,,91110113352984453E,北京康复汇信息技术有限责任公司,2020-06-17 20:03:32,
133,A轮,金额未知,,深圳壹堆投资有限公司,,91110112MA0068GX3D,北京知趣文化传媒有限公司,2020-06-17 20:03:32,
134,众筹,金额未知,,"嘉实资本
银河系创投",,91110108MA01GYXP24,北京空际科技有限公司,2020-06-17 20:03:32,
135,种子轮,100万,,个人投资人,,91110108MA01GNA87E,北京财咪教育科技有限公司,2020-06-17 20:03:32,
136,天使轮,未披露,,明势资本,,91110108MA01G6KQ1U,北京聚数智途科技有限公司,2020-06-17 20:03:32,
137,天使轮,金额未知,,"真格基金
盛大资本
通鼎互联",,91110108MA01F2DQ02,里程保(北京)技术有限公司,2020-06-17 20:03:32,
138,种子轮,数百万,,投资方未知,,91110108MA01EYA513,北京霏岚出海科技有限公司,2020-06-17 20:03:32,
139,-,金额未知,,GGV纪源资本,,91110108MA01FCC413,北京心火科技有限公司,2020-06-17 20:03:32,
140,天使轮,金额未知,,创新工场,,91110108MA009EYX0D,北京有师科技有限公司,2020-06-17 20:03:32,
141,战略投资,金额未知,,夏鼎资本,,9111010875870110XB,北京泛在电子标签技术有限公司,2020-06-17 20:03:32,
142,-,金额未知,,中金汇财,,91110108330224445B,财高参(北京)信息科技有限公司,2020-06-17 20:03:32,
143,天使轮,100万,,"1898创投
天使汇
创客总部",,911101083271744409,北京信逸科技有限公司,2020-06-17 20:03:32,
144,A轮,金额未知,,"考拉产业基金(拉卡拉)
沃石投资",,911101083271744409,北京信逸科技有限公司,2020-06-17 20:03:32,
145,战略投资,金额未知,,"腾讯投资
金东投资集团有限公司",,91110108318121689C,北京奇异点科技有限公司,2020-06-17 20:03:32,
146,战略投资,金额未知,,沃石投资,,91110108318121689C,北京奇异点科技有限公司,2020-06-17 20:03:32,
147,天使轮,100万,,金东资本,,91110108318121689C,北京奇异点科技有限公司,2020-06-17 20:03:32,
148,天使轮,金额未知,,新势能基金,,91110105MA0184QN6X,北京燃橙体育科技有限公司,2020-06-17 20:03:32,
149,天使轮,1000万,,投资方未知,,91110105MA00FQFL70,北京好课多信息技术有限公司,2020-06-17 20:03:32,
150,A轮,金额未知,,"北联投资
创势资本
洪泰基金",,91110105MA001U9U7E,众采互联科技(北京)有限公司,2020-06-17 20:03:32,
151,-,金额未知,,北塔资本,,91110105MA0016965T,北京觅思潘教育科技有限公司,2020-06-17 20:03:32,
152,D轮,1500万,,"Lightspeed Venture Partners
VantagePoint Capital Partners
GGV纪源资本
Khosla Ventures",,91110105579028941E,宇博联创国际咨询(北京)有限公司,2020-06-17 20:03:32,
153,天使轮,金额未知,,力迈集团,,911101053183612878,北京咖本商贸有限公司,2020-06-17 20:03:32,
154,B轮,金额未知,,投资方未知,,911101050573689142,屹石资产管理(北京)有限公司,2020-06-17 20:03:32,
155,A轮,620万,,京东,,911101013976254628,北京高梓行远科技有限公司,2020-06-17 20:03:32,
156,Pre-A轮,300万,,薛蛮子,,911101013976254628,北京高梓行远科技有限公司,2020-06-17 20:03:32,
157,天使轮,100万,,红岭创投,,911101013976254628,北京高梓行远科技有限公司,2020-06-17 20:03:32,
158,天使轮,金额未知,,新宸盛元,,91110302MA009CFF7L,北京嗨培体育发展有限公司,2020-06-17 20:03:32,
159,天使轮,1000万,,投资方未知,,911103023066664709,车游天下汽车俱乐部有限公司,2020-06-17 20:03:32,
160,天使轮,金额未知,,北京抱朴资产,,91110116MA007UL78P,北京普成锐思生物科技有限公司,2020-06-17 20:03:32,
161,-,金额未知,,辰星辉月,,91110115MA0186526B,北京黄钟大吕科技有限公司,2020-06-17 20:03:32,
162,天使轮,金额未知,,"首建投资本
智云信息产业发展有限公司",,91110114MA01HCLP19,飞诺门阵(北京)科技有限公司,2020-06-17 20:03:33,
163,战略投资,金额未知,,小渔教育,,91110114MA004H9X21,北京爱徒教育科技有限公司,2020-06-17 20:03:33,
164,天使轮,100万,,凯临资本,,91110114MA004H9X21,北京爱徒教育科技有限公司,2020-06-17 20:03:33,
165,天使轮,100万,,投资方未知,,91110114MA004H9X21,北京爱徒教育科技有限公司,2020-06-17 20:03:33,
166,战略投资,金额未知,,"丰田
Destiny Mobility Investments Limited",,91110113MA01MJERXU,丰桔出行(北京)科技有限公司,2020-06-17 20:03:33,
167,天使轮,金额未知,,鸿泰财富,,91110112306513327A,北京智云时代科技有限公司,2020-06-17 20:03:33,
168,种子轮,金额未知,,AC加速器,,91110111MA00653L49,北京纪茜科技有限公司,2020-06-17 20:03:33,
169,-,未披露,,险峰长青,,91110108MA01MB5185,北京波粒子科技有限公司,2020-06-17 20:03:33,
170,天使轮,100万,,途游游戏,,91110108MA01AP246J,北京童天下教育科技有限公司,2020-06-17 20:03:33,
171,天使轮,金额未知,,味可拓（天津）餐饮管理有限公司,,91110108MA018UNR0L,北京正在迭代科技有限公司,2020-06-17 20:03:33,
172,-,金额未知,,温青创投,,91110108MA017R4641,奇遇世界(北京)科技有限公司,2020-06-17 20:03:33,
173,A轮,金额未知,,"将门创业
考拉产业基金(拉卡拉)",,91110108MA00G4PJX2,北京大鱼创想科技有限公司,2020-06-17 20:03:33,
174,Pre-A轮,1000万,,大河创投,,91110108MA00G4PJX2,北京大鱼创想科技有限公司,2020-06-17 20:03:33,
175,种子轮,金额未知,,投资方未知,,91110108MA00FJKR92,北京合药健康科技有限公司,2020-06-17 20:03:33,
176,天使轮,100万,,"胡剑锋
HAX",,91110108MA00FAE13G,北京新工厂创客教育咨询有限公司,2020-06-17 20:03:33,
177,种子轮,100万,,HAX,,91110108MA00FAE13G,北京新工厂创客教育咨询有限公司,2020-06-17 20:03:33,
178,-,金额未知,,荷塘投资,,91110108MA00AYJJ09,北京清瑞维航技术发展有限公司,2020-06-17 20:03:33,
179,天使轮,金额未知,,星辉投资,,91110108MA00A30MXW,北京峰云互娱网络技术有限公司,2020-06-17 20:03:33,
180,天使轮,金额未知,,联想之星,,91110108MA008XNG80,北京量子体系科技股份有限公司,2020-06-17 20:03:33,
181,Pre-A轮,1000万,,武岳峰资本,,91110108MA006LCN17,北京氦舶科技有限责任公司,2020-06-17 20:03:33,
182,天使轮,1000万,,瑞和资本,,91110108MA006LCN17,北京氦舶科技有限责任公司,2020-06-17 20:03:33,
183,种子轮,200万,,投资方未知,,91110108MA006DNF4F,北京缤壳科技有限公司,2020-06-17 20:03:33,
184,天使轮,金额未知,,"天奇创投
高淳股份",,91110108MA0064RE7P,北京哇陶科技有限公司,2020-06-17 20:03:33,
185,A轮,金额未知,,创势资本,,91110108MA0058DU4W,远形时空科技(北京)有限公司,2020-06-17 20:03:33,
186,Pre-A轮,1000万,,"清研投资
快仓智能",,91110108MA0058DU4W,远形时空科技(北京)有限公司,2020-06-17 20:03:33,
187,天使轮,金额未知,,"PreAngel
伽利略资本
泰有投资",,91110108MA0058DU4W,远形时空科技(北京)有限公司,2020-06-17 20:03:33,
188,天使轮,金额未知,,唯猎资本,,91110108MA00166W98,北京巡洋舰科技有限公司,2020-06-17 20:03:33,
189,A轮,1000万,,邦盛资本,,91110108675057902B,北京词网科技有限公司,2020-06-17 20:03:33,
190,天使轮,100万,,极客帮创投,,91110108675057902B,北京词网科技有限公司,2020-06-17 20:03:33,
191,天使轮,金额未知,,广联达,,91110108579099096Q,北京鸿翔远成科技有限公司,2020-06-17 20:03:33,
192,A轮,数百万美元,,君联资本,,911101085636299103,北京韩潇艾佳国际教育科技有限公司,2020-06-17 20:03:33,
193,天使轮,1000万,,投资方未知,,91110108558591065B,北京指尖时空科技有限公司,2020-06-17 20:03:33,
194,Pre-A轮,金额未知,,天奇创投,,911101083976260279,北京微芒科技有限公司,2020-06-17 20:03:33,
195,天使轮,金额未知,,金沙江创投,,911101083553134957,北京草屋科技有限公司,2020-06-17 20:03:33,
196,A轮,金额未知,,星火金融,,91110108355261920J,北京浩锋科技有限公司,2020-06-17 20:03:33,
197,Pre-A轮,千万级,,"汉能投资集团
泽厚资本",,91110108351617133M,北京凯为科技有限公司,2020-06-17 20:03:33,
198,天使轮,数百万,,投资方未知,,91110108351617133M,北京凯为科技有限公司,2020-06-17 20:03:33,
199,Pre-A轮,100万,,朗玛峰创投,,911101083516135897,北京午饭科技有限公司,2020-06-17 20:03:33,
200,天使轮,100万,,洪泰基金,,911101083516135897,北京午饭科技有限公司,2020-06-17 20:03:33,
201,Pre-A轮,金额未知,,联创永宣,,91110108351594664X,北京车库咖啡品牌管理有限公司,2020-06-17 20:03:33,
202,-,金额未知,,深圳前海洛金基金管理,,911101083513032065,北京海瀑网络科技有限公司,2020-06-17 20:03:33,
203,天使轮,250万,,博派资本,,91110108348273464D,北京轻卡科技有限公司,2020-06-17 20:03:33,
204,天使轮,金额未知,,梅花创投,,911101083442832944,北京帮帮糖网络科技有限公司,2020-06-17 20:03:33,
205,天使轮,300万,,泽厚资本,,9111010834422362XJ,北京眼缘儿科技有限公司,2020-06-17 20:03:33,
206,天使轮,100万,,星河互联,,91110108339866997P,北京智筹科技有限公司,2020-06-17 20:03:33,
207,种子轮,50万,,上海题梦众创空间,,9111010834422362XJ,北京眼缘儿科技有限公司,2020-06-17 20:03:33,
208,A轮,金额未知,,天使汇,,9111010833975969X6,北京巴士互联科技有限公司,2020-06-17 20:03:33,
209,天使轮,100万,,"PreAngel
众诚资本",,9111010833975969X6,北京巴士互联科技有限公司,2020-06-17 20:03:33,
210,天使轮,1500万,,投资方未知,,91110108335616376U,北京优医库科技有限公司,2020-06-17 20:03:33,
211,A轮,未披露,,车库咖啡,,91110108335596782J,北京创江湖科技有限公司,2020-06-17 20:03:33,
212,A轮,金额未知,,"嘉解烁成投资
明嘉资本",,91110108330402336Y,北京蛋解创业科技有限公司,2020-06-17 20:03:33,
213,天使轮,300万,,"华盖资本
华澍资本
众造未来",,91110108330402336Y,北京蛋解创业科技有限公司,2020-06-17 20:03:33,
214,种子轮,80万,,"苏河汇
AC加速器",,91110108330402336Y,北京蛋解创业科技有限公司,2020-06-17 20:03:33,
215,天使轮,100万,,个人投资者,,91110108330281335D,北京四邻科技有限公司,2020-06-17 20:03:33,
216,天使轮,金额未知,,汉王科技,,911101083183781852,北京汉王教育科技有限公司,2020-06-17 20:03:33,
217,A轮,金额未知,,"大河创投
海淀园创业中心",,911101083180836430,北京大成阳光教育科技有限公司,2020-06-17 20:03:33,
218,天使轮,金额未知,,英诺天使基金,,911101083180836430,北京大成阳光教育科技有限公司,2020-06-17 20:03:33,
219,Pre-A轮,1500万,,"高榕资本
真格基金",,91110108317935007Y,北京脑洞科技有限公司,2020-06-17 20:03:33,
220,天使轮,100万,,高榕资本,,91110108317935007Y,北京脑洞科技有限公司,2020-06-17 20:03:33,
221,被收购,1000万,,赤子城SOLO,,911101083066922653,北京易盒科技有限公司,2020-06-17 20:03:34,
222,A轮,金额未知,,慧秋投资,,911101083067140495,北京双子互娱网络科技有限公司,2020-06-17 20:03:34,
223,天使轮,300万,,星辉投资,,911101083067140495,北京双子互娱网络科技有限公司,2020-06-17 20:03:34,
224,天使轮,100万,,梅花创投,,911101083063992964,北京鹅卵石科技有限公司,2020-06-17 20:03:34,
225,天使轮,金额未知,,龙磐投资,,91110107MA007UFA41,北京安睿信息技术有限公司,2020-06-17 20:03:34,
226,天使轮,金额未知,,融数金服,,91110106MA0181FA1P,北京即思教育科技有限公司,2020-06-17 20:03:34,
227,天使轮,金额未知,,"阿尔法公社
经纬中国",,91110106MA0074WG00,北京洪水猛兽科技有限公司,2020-06-17 20:03:34,
228,A轮,5000万,,"华睿投资
绩优投资",,91130108MA07UJC64E,石家庄火图科技有限公司,2020-06-17 20:03:34,
229,天使轮,100万,,银杏谷资本,,91130108MA07UJC64E,石家庄火图科技有限公司,2020-06-17 20:03:34,
